Data;Produto;Região;Quantidade;Valor Unitário;Receita
02/04/2022;Shampoo;Sul;652;158;103016
09/05/2023;Suco;Sul;443;162;71766
03/12/2023;Sabonete;Norte;34;173;5882
20/05/2023;Detergente;Sul;270;143;38610
06/12/2022;Shampoo;Norte;956;136;130016
04/03/2023;Sabonete;Oeste;493;35;17255
31/05/2023;Maionese;Norte;752;82;61664
13/06/2023;Suco;Norte;760;61;46360
25/02/2023;Pasta de dente;Oeste;845;140;118300
14/02/2023;Shampoo;Leste;247;65;16055
18/05/2022;Pasta de dente;Norte;45;58;2610
28/06/2022;Sabonete;Oeste;944;238;224672
12/05/2023;Detergente;Norte;298;37;11026
27/03/2023;Sabonete;Sul;288;4;1152
12/04/2023;Detergente;Leste;60;133;7980
08/09/2022;Suco;Oeste;541;9;4869
03/04/2023;Detergente;Leste;405;133;53865
06/05/2023;Pasta de dente;Oeste;608;115;69920
17/02/2023;Sabonete;Norte;394;181;71314
08/10/2022;Sabonete;Norte;23;201;4623
18/05/2023;Shampoo;Sul;159;126;20034
24/03/2023;Suco;Oeste;744;128;95232
22/07/2022;Maionese;Leste;956;252;240912
17/02/2023;Detergente;Leste;333;240;79920
05/05/2023;Shampoo;Sul;805;169;136045
23/07/2023;Pasta de dente;Norte;662;108;71496
15/04/2022;Detergente;Norte;176;115;20240
28/12/2022;Pasta de dente;Leste;165;163;26895
21/04/2023;Sabonete;Norte;699;154;107646
17/02/2022;Suco;Leste;679;219;148701
18/12/2023;Pasta de dente;Leste;312;207;64584
16/09/2023;Shampoo;Oeste;478;47;22466
15/07/2023;Maionese;Leste;831;128;106368
28/03/2023;Shampoo;Norte;939;222;208458
13/05/2022;Maionese;Oeste;427;104;44408
24/08/2023;Suco;Leste;183;118;21594
11/09/2022;Suco;Sul;586;108;63288
05/01/2023;Maionese;Leste;835;116;96860
13/08/2023;Suco;Oeste;503;97;48791
15/03/2023;Sabonete;Norte;655;197;129035
21/08/2022;Shampoo;Leste;409;172;70348
25/04/2023;Sabonete;Oeste;735;85;62475
01/02/2022;Suco;Sul;935;222;207570
02/01/2022;Pasta de dente;Leste;464;252;116928
26/06/2022;Maionese;Oeste;93;242;22506
22/12/2023;Suco;Norte;322;83;26726
08/09/2023;Pasta de dente;Norte;769;90;69210
15/01/2022;Suco;Norte;150;205;30750
31/03/2022;Shampoo;Norte;844;18;15192
03/05/2022;Suco;Oeste;49;149;7301
29/10/2022;Pasta de dente;Norte;738;250;184500
30/08/2023;Suco;Oeste;219;96;21024
19/02/2022;Pasta de dente;Leste;631;129;81399
05/06/2023;Suco;Norte;372;181;67332
13/04/2022;Detergente;Oeste;977;107;104539
18/06/2023;Maionese;Norte;184;134;24656
21/01/2023;Maionese;Leste;186;183;34038
30/11/2023;Suco;Oeste;893;126;112518
20/09/2022;Sabonete;Sul;602;22;13244
25/04/2023;Maionese;Oeste;37;150;5550
09/09/2023;Shampoo;Leste;437;84;36708
23/06/2022;Maionese;Oeste;506;165;83490
24/06/2022;Suco;Norte;665;227;150955
16/05/2023;Pasta de dente;Oeste;810;221;179010
28/10/2022;Shampoo;Norte;817;111;90687
26/11/2023;Suco;Oeste;157;192;30144
29/07/2022;Suco;Oeste;497;245;121765
25/12/2023;Sabonete;Norte;485;144;69840
01/03/2022;Detergente;Norte;236;187;44132
07/04/2022;Maionese;Norte;945;195;184275
25/11/2022;Shampoo;Sul;413;228;94164
21/10/2023;Pasta de dente;Leste;888;14;12432
20/09/2023;Suco;Oeste;378;237;89586
10/10/2022;Sabonete;Oeste;69;162;11178
16/06/2023;Shampoo;Leste;425;67;28475
29/11/2022;Suco;Norte;296;46;13616
20/10/2023;Suco;Oeste;123;56;6888
02/12/2023;Shampoo;Sul;933;98;91434
21/06/2022;Suco;Oeste;181;38;6878
14/03/2022;Suco;Sul;924;48;44352
10/07/2022;Sabonete;Sul;13;113;1469
30/09/2022;Pasta de dente;Leste;403;40;16120
22/11/2022;Detergente;Leste;26;220;5720
07/04/2022;Maionese;Norte;964;219;211116
22/09/2023;Maionese;Leste;176;99;17424
17/08/2022;Maionese;Leste;958;155;148490
17/02/2023;Sabonete;Norte;252;135;34020
08/03/2023;Maionese;Sul;428;39;16692
17/02/2023;Suco;Sul;641;240;153840
12/06/2023;Maionese;Oeste;118;107;12626
16/10/2022;Detergente;Oeste;293;253;74129
22/05/2022;Suco;Leste;750;112;84000
27/02/2023;Pasta de dente;Norte;841;15;12615
11/04/2023;Pasta de dente;Oeste;102;100;10200
30/01/2023;Shampoo;Sul;966;144;139104
18/10/2023;Pasta de dente;Sul;407;170;69190
20/12/2023;Shampoo;Sul;634;199;126166
04/05/2022;Maionese;Oeste;309;8;2472
17/06/2023;Detergente;Sul;676;139;93964
29/10/2022;Suco;Leste;45;59;2655
25/06/2022;Pasta de dente;Norte;791;247;195377
25/06/2022;Maionese;Norte;951;43;40893
23/07/2022;Pasta de dente;Norte;310;45;13950
14/08/2022;Shampoo;Leste;927;39;36153
04/07/2022;Maionese;Leste;23;88;2024
20/02/2023;Sabonete;Leste;351;203;71253
15/12/2023;Detergente;Oeste;785;25;19625
28/11/2023;Suco;Norte;390;178;69420
01/03/2023;Shampoo;Oeste;931;131;121961
06/02/2023;Pasta de dente;Oeste;403;73;29419
07/01/2022;Pasta de dente;Oeste;821;95;77995
30/12/2023;Pasta de dente;Sul;456;158;72048
19/06/2023;Suco;Norte;422;146;61612
20/03/2023;Maionese;Leste;941;14;13174
08/02/2022;Maionese;Norte;723;56;40488
28/09/2023;Suco;Sul;917;251;230167
16/12/2022;Maionese;Leste;510;187;95370
24/08/2023;Pasta de dente;Oeste;856;58;49648
06/03/2022;Shampoo;Oeste;370;184;68080
27/03/2023;Detergente;Norte;466;205;95530
03/02/2023;Maionese;Norte;882;47;41454
25/01/2022;Shampoo;Leste;931;61;56791
01/07/2022;Detergente;Leste;298;80;23840
29/01/2022;Maionese;Leste;52;214;11128
01/08/2022;Maionese;Norte;423;116;49068
02/08/2022;Sabonete;Sul;831;153;127143
21/12/2022;Maionese;Leste;560;189;105840
04/05/2022;Suco;Sul;21;59;1239
11/03/2023;Maionese;Sul;626;55;34430
03/04/2023;Maionese;Oeste;394;142;55948
27/07/2023;Shampoo;Oeste;43;69;2967
06/05/2023;Shampoo;Oeste;996;163;162348
22/08/2023;Detergente;Leste;3;247;741
13/10/2023;Suco;Norte;178;13;2314
01/06/2023;Detergente;Sul;454;236;107144
31/10/2022;Sabonete;Norte;904;66;59664
18/01/2023;Suco;Norte;869;185;160765
07/07/2023;Sabonete;Oeste;755;127;95885
06/03/2022;Suco;Norte;586;222;130092
21/09/2023;Shampoo;Sul;559;152;84968
31/08/2023;Maionese;Sul;51;103;5253
11/05/2023;Detergente;Oeste;736;94;69184
23/08/2023;Sabonete;Sul;964;229;220756
14/04/2022;Suco;Norte;597;39;23283
09/05/2022;Detergente;Oeste;489;231;112959
12/07/2023;Suco;Sul;892;13;11596
24/05/2022;Pasta de dente;Norte;158;68;10744
13/10/2023;Suco;Sul;611;159;97149
06/02/2023;Pasta de dente;Sul;842;236;198712
11/05/2022;Detergente;Oeste;929;186;172794
06/02/2022;Shampoo;Sul;343;221;75803
18/01/2022;Shampoo;Oeste;432;218;94176
06/04/2022;Maionese;Oeste;373;201;74973
22/08/2023;Detergente;Oeste;297;60;17820
08/04/2023;Detergente;Sul;359;117;42003
04/10/2023;Detergente;Sul;162;104;16848
06/01/2022;Pasta de dente;Leste;580;174;100920
27/05/2022;Shampoo;Leste;745;9;6705
09/07/2023;Shampoo;Sul;141;9;1269
30/07/2023;Detergente;Oeste;838;203;170114
27/01/2022;Suco;Sul;605;182;110110
22/06/2023;Maionese;Oeste;944;151;142544
22/07/2023;Pasta de dente;Norte;332;142;47144
23/03/2023;Sabonete;Norte;817;25;20425
27/11/2022;Sabonete;Oeste;261;87;22707
26/12/2022;Sabonete;Leste;555;139;77145
25/04/2023;Maionese;Leste;953;58;55274
06/03/2022;Detergente;Leste;483;216;104328
28/06/2023;Sabonete;Norte;545;190;103550
14/07/2022;Suco;Sul;471;111;52281
05/07/2023;Detergente;Norte;635;26;16510
29/11/2023;Sabonete;Oeste;990;171;169290
20/08/2023;Suco;Leste;119;234;27846
03/09/2022;Maionese;Leste;192;87;16704
31/12/2022;Shampoo;Oeste;722;175;126350
02/02/2022;Maionese;Oeste;653;53;34609
23/11/2022;Suco;Sul;75;36;2700
16/11/2023;Maionese;Sul;262;246;64452
10/11/2023;Pasta de dente;Oeste;545;40;21800
24/01/2022;Shampoo;Sul;830;81;67230
10/11/2023;Sabonete;Oeste;633;192;121536
16/10/2022;Detergente;Sul;312;199;62088
11/02/2022;Shampoo;Leste;175;109;19075
06/08/2023;Maionese;Leste;462;114;52668
11/06/2023;Detergente;Leste;500;117;58500
23/10/2023;Sabonete;Leste;718;61;43798
23/07/2023;Pasta de dente;Leste;652;45;29340
06/02/2022;Suco;Norte;640;197;126080
11/02/2023;Shampoo;Leste;556;186;103416
07/05/2023;Pasta de dente;Leste;608;220;133760
19/05/2023;Detergente;Oeste;935;219;204765
20/06/2023;Detergente;Oeste;202;118;23836
22/09/2023;Pasta de dente;Oeste;676;225;152100
23/11/2022;Shampoo;Oeste;52;232;12064
20/03/2023;Suco;Leste;221;27;5967
14/04/2023;Pasta de dente;Sul;300;180;54000
03/06/2022;Detergente;Norte;253;195;49335
15/04/2023;Sabonete;Sul;702;203;142506
21/11/2022;Sabonete;Norte;698;236;164728
22/03/2022;Suco;Leste;947;162;153414
13/12/2023;Shampoo;Norte;655;35;22925
25/03/2022;Pasta de dente;Leste;38;191;7258
01/01/2024;Sabonete;Norte;219;116;25404
29/07/2023;Pasta de dente;Sul;84;120;10080
25/02/2022;Suco;Oeste;751;200;150200
23/01/2023;Sabonete;Oeste;829;214;177406
24/04/2023;Pasta de dente;Norte;395;128;50560
08/06/2022;Detergente;Leste;984;240;236160
10/07/2023;Sabonete;Norte;833;64;53312
11/09/2022;Detergente;Norte;375;165;61875
14/08/2022;Suco;Norte;738;67;49446
10/01/2022;Sabonete;Leste;356;236;84016
18/10/2022;Pasta de dente;Leste;164;88;14432
18/02/2022;Shampoo;Leste;148;163;24124
25/11/2023;Shampoo;Oeste;482;13;6266
07/11/2023;Sabonete;Sul;972;17;16524
02/03/2022;Sabonete;Leste;79;155;12245
13/01/2023;Sabonete;Sul;507;50;25350
27/02/2022;Shampoo;Leste;619;66;40854
13/07/2023;Sabonete;Sul;604;12;7248
29/05/2022;Shampoo;Oeste;18;243;4374
28/03/2022;Pasta de dente;Norte;801;62;49662
22/12/2022;Sabonete;Sul;128;144;18432
12/01/2023;Detergente;Leste;597;101;60297
21/12/2023;Suco;Leste;527;52;27404
21/11/2022;Detergente;Oeste;778;162;126036
25/07/2022;Pasta de dente;Oeste;159;11;1749
05/05/2022;Detergente;Leste;787;252;198324
24/02/2023;Detergente;Oeste;638;241;153758
07/05/2022;Maionese;Norte;199;78;15522
12/01/2023;Sabonete;Oeste;40;60;2400
20/04/2022;Shampoo;Sul;435;127;55245
10/07/2023;Shampoo;Norte;696;217;151032
24/02/2022;Suco;Oeste;933;105;97965
20/02/2022;Detergente;Norte;548;3;1644
11/02/2023;Pasta de dente;Oeste;488;146;71248
10/08/2022;Suco;Norte;684;102;69768
19/11/2023;Detergente;Norte;694;93;64542
22/09/2023;Suco;Norte;417;251;104667
24/03/2022;Pasta de dente;Sul;406;101;41006
12/02/2022;Sabonete;Leste;397;139;55183
26/03/2023;Sabonete;Norte;671;23;15433
18/10/2023;Shampoo;Leste;692;38;26296
16/06/2023;Detergente;Sul;178;99;17622
06/02/2022;Shampoo;Sul;522;114;59508
11/02/2022;Maionese;Oeste;234;190;44460
04/01/2023;Suco;Leste;190;71;13490
24/06/2022;Shampoo;Leste;129;50;6450
11/06/2023;Pasta de dente;Leste;84;156;13104
24/01/2022;Maionese;Sul;514;46;23644
03/05/2022;Shampoo;Oeste;320;169;54080
03/04/2023;Pasta de dente;Leste;196;14;2744
27/04/2023;Detergente;Oeste;6;57;342
09/11/2022;Suco;Sul;635;26;16510
31/10/2022;Pasta de dente;Sul;823;184;151432
16/12/2023;Sabonete;Sul;250;102;25500
25/08/2023;Pasta de dente;Oeste;92;39;3588
04/05/2023;Suco;Sul;219;154;33726
12/05/2023;Shampoo;Norte;854;123;105042
10/11/2023;Sabonete;Sul;568;149;84632
11/04/2022;Shampoo;Norte;187;91;17017
24/08/2023;Maionese;Oeste;939;157;147423
04/03/2023;Suco;Norte;420;164;68880
16/10/2023;Sabonete;Norte;229;60;13740
31/07/2022;Detergente;Leste;923;151;139373
17/03/2022;Suco;Sul;491;114;55974
06/02/2022;Pasta de dente;Leste;354;245;86730
26/01/2022;Maionese;Leste;884;82;72488
23/01/2022;Shampoo;Leste;867;145;125715
15/05/2023;Maionese;Norte;99;210;20790
18/03/2023;Detergente;Oeste;570;2;1140
04/06/2022;Detergente;Norte;796;87;69252
14/02/2023;Maionese;Oeste;474;148;70152
31/07/2022;Maionese;Norte;296;148;43808
10/05/2023;Pasta de dente;Sul;680;36;24480
12/05/2022;Sabonete;Leste;929;138;128202
10/08/2023;Detergente;Leste;876;107;93732
14/09/2023;Pasta de dente;Sul;202;204;41208
14/06/2023;Sabonete;Leste;886;223;197578
23/02/2022;Detergente;Leste;180;152;27360
25/04/2023;Shampoo;Oeste;495;175;86625
19/06/2022;Suco;Sul;543;193;104799
03/06/2023;Maionese;Sul;745;127;94615
28/08/2023;Pasta de dente;Sul;254;1;254
02/02/2022;Pasta de dente;Oeste;593;160;94880
25/06/2022;Detergente;Oeste;126;184;23184
08/11/2022;Detergente;Sul;815;74;60310
30/06/2022;Pasta de dente;Leste;385;98;37730
20/10/2023;Pasta de dente;Sul;946;181;171226
08/05/2023;Suco;Sul;306;161;49266
02/06/2022;Maionese;Norte;308;189;58212
14/01/2023;Shampoo;Oeste;794;142;112748
24/02/2022;Maionese;Oeste;297;103;30591
02/05/2022;Pasta de dente;Leste;982;53;52046
04/02/2023;Pasta de dente;Oeste;397;111;44067
01/05/2022;Detergente;Oeste;496;83;41168
15/09/2023;Detergente;Leste;585;163;95355
08/12/2023;Suco;Oeste;537;99;53163
03/05/2023;Maionese;Sul;953;253;241109
20/12/2022;Maionese;Norte;254;157;39878
03/03/2022;Pasta de dente;Sul;347;184;63848
11/12/2022;Sabonete;Sul;697;184;128248
09/05/2023;Detergente;Sul;667;60;40020
12/01/2022;Suco;Norte;532;11;5852
14/01/2022;Suco;Norte;642;234;150228
09/12/2022;Suco;Oeste;527;18;9486
13/09/2022;Shampoo;Leste;817;154;125818
29/10/2022;Pasta de dente;Oeste;238;212;50456
21/03/2022;Detergente;Sul;31;113;3503
15/03/2023;Maionese;Norte;569;90;51210
08/08/2023;Suco;Norte;131;104;13624
09/08/2023;Detergente;Leste;715;152;108680
26/11/2023;Pasta de dente;Oeste;490;236;115640
02/10/2022;Detergente;Norte;473;115;54395
14/03/2022;Suco;Sul;464;71;32944
28/09/2022;Suco;Sul;455;107;48685
01/02/2023;Maionese;Sul;622;203;126266
02/08/2023;Detergente;Norte;757;231;174867
04/01/2023;Sabonete;Oeste;80;131;10480
24/03/2023;Pasta de dente;Leste;23;76;1748
04/11/2022;Maionese;Sul;633;17;10761
04/11/2022;Sabonete;Oeste;345;206;71070
25/08/2022;Shampoo;Leste;127;76;9652
19/01/2023;Maionese;Norte;635;102;64770
05/03/2023;Suco;Sul;691;59;40769
13/03/2023;Suco;Oeste;370;211;78070
12/05/2023;Suco;Leste;931;2;1862
27/05/2022;Shampoo;Sul;799;214;170986
30/03/2023;Shampoo;Leste;616;163;100408
11/12/2022;Detergente;Leste;620;115;71300
06/11/2022;Suco;Norte;836;43;35948
15/03/2022;Suco;Leste;81;202;16362
12/10/2022;Detergente;Sul;308;166;51128
27/12/2022;Detergente;Oeste;687;38;26106
12/12/2022;Maionese;Leste;963;207;199341
18/11/2023;Detergente;Norte;940;101;94940
26/08/2023;Maionese;Sul;188;216;40608
24/04/2023;Detergente;Oeste;313;179;56027
17/07/2022;Detergente;Norte;958;209;200222
10/12/2022;Detergente;Norte;374;182;68068
14/08/2023;Shampoo;Oeste;818;49;40082
11/11/2023;Shampoo;Sul;5;111;555
20/08/2023;Suco;Sul;69;70;4830
05/12/2023;Maionese;Oeste;556;168;93408
07/11/2022;Maionese;Sul;953;245;233485
29/05/2022;Maionese;Norte;97;53;5141
07/10/2023;Detergente;Sul;257;58;14906
08/04/2023;Sabonete;Oeste;268;237;63516
02/01/2022;Detergente;Sul;266;225;59850
21/11/2023;Suco;Oeste;534;226;120684
25/12/2022;Suco;Sul;174;57;9918
29/09/2022;Shampoo;Leste;539;217;116963
26/09/2022;Sabonete;Norte;473;104;49192
22/08/2023;Shampoo;Norte;390;114;44460
08/10/2022;Sabonete;Norte;436;29;12644
11/12/2022;Maionese;Oeste;626;222;138972
03/05/2022;Maionese;Leste;721;107;77147
06/05/2023;Suco;Oeste;537;237;127269
16/06/2023;Detergente;Leste;994;122;121268
17/01/2022;Maionese;Leste;733;5;3665
16/06/2022;Maionese;Leste;755;251;189505
10/07/2022;Detergente;Leste;736;9;6624
10/11/2022;Suco;Leste;113;76;8588
15/12/2023;Pasta de dente;Norte;823;98;80654
16/09/2022;Sabonete;Oeste;171;187;31977
21/11/2022;Sabonete;Norte;174;243;42282
21/06/2022;Maionese;Sul;955;156;148980
21/06/2023;Shampoo;Oeste;776;58;45008
09/10/2023;Pasta de dente;Oeste;681;26;17706
21/09/2023;Shampoo;Sul;831;136;113016
04/12/2023;Suco;Leste;670;45;30150
12/06/2023;Sabonete;Oeste;362;132;47784
27/11/2023;Maionese;Norte;9;36;324
01/09/2022;Detergente;Norte;807;139;112173
25/11/2022;Shampoo;Sul;443;47;20821
11/02/2022;Sabonete;Sul;468;227;106236
03/02/2023;Shampoo;Oeste;536;141;75576
07/04/2022;Pasta de dente;Leste;589;37;21793
05/02/2022;Maionese;Sul;120;194;23280
12/11/2022;Suco;Leste;374;242;90508
20/11/2022;Shampoo;Leste;442;132;58344
05/06/2022;Shampoo;Leste;650;76;49400
10/06/2022;Detergente;Norte;907;83;75281
05/09/2022;Sabonete;Oeste;790;14;11060
12/11/2022;Suco;Oeste;627;162;101574
09/11/2023;Shampoo;Sul;352;212;74624
25/08/2022;Maionese;Oeste;679;253;171787
30/04/2022;Maionese;Sul;813;17;13821
01/06/2022;Shampoo;Oeste;344;247;84968
21/12/2023;Detergente;Leste;777;39;30303
04/02/2022;Detergente;Oeste;738;198;146124
28/12/2022;Shampoo;Norte;169;83;14027
21/01/2022;Shampoo;Sul;215;143;30745
08/09/2023;Detergente;Sul;159;175;27825
03/03/2023;Detergente;Leste;400;202;80800
25/09/2022;Shampoo;Leste;89;98;8722
18/01/2023;Suco;Sul;675;219;147825
26/03/2023;Sabonete;Sul;866;250;216500
12/06/2022;Detergente;Norte;967;44;42548
25/01/2022;Maionese;Oeste;55;131;7205
07/07/2022;Sabonete;Norte;960;223;214080
24/06/2023;Maionese;Sul;484;83;40172
20/12/2022;Sabonete;Norte;980;176;172480
18/09/2023;Shampoo;Oeste;676;161;108836
12/08/2022;Pasta de dente;Norte;653;12;7836
13/01/2022;Pasta de dente;Sul;996;158;157368
11/04/2022;Pasta de dente;Norte;623;168;104664
20/06/2022;Shampoo;Norte;877;207;181539
24/11/2023;Maionese;Norte;405;191;77355
27/05/2022;Suco;Sul;152;180;27360
18/10/2022;Suco;Norte;117;172;20124
30/09/2023;Maionese;Sul;279;80;22320
28/03/2023;Suco;Leste;144;80;11520
14/05/2023;Suco;Norte;928;227;210656
22/01/2023;Maionese;Norte;624;245;152880
17/07/2023;Sabonete;Norte;898;182;163436
13/04/2023;Detergente;Norte;186;214;39804
26/11/2023;Shampoo;Oeste;242;162;39204
21/07/2022;Shampoo;Oeste;280;85;23800
02/12/2023;Pasta de dente;Oeste;143;2;286
22/01/2023;Shampoo;Leste;386;6;2316
14/06/2022;Maionese;Oeste;759;123;93357
01/04/2023;Suco;Oeste;983;58;57014
21/01/2023;Suco;Leste;886;233;206438
22/01/2023;Sabonete;Leste;916;51;46716
29/04/2022;Detergente;Leste;380;143;54340
09/04/2023;Maionese;Norte;712;177;126024
16/04/2023;Shampoo;Sul;136;210;28560
25/04/2023;Pasta de dente;Oeste;908;5;4540
01/05/2023;Pasta de dente;Leste;247;73;18031
23/02/2022;Maionese;Sul;232;183;42456
04/05/2023;Sabonete;Leste;701;191;133891
04/05/2023;Pasta de dente;Leste;951;234;222534
02/06/2023;Detergente;Oeste;850;158;134300
19/12/2022;Maionese;Norte;633;64;40512
17/05/2023;Suco;Sul;833;227;189091
12/09/2023;Shampoo;Norte;784;167;130928
15/05/2022;Sabonete;Norte;681;191;130071
29/10/2022;Pasta de dente;Oeste;627;133;83391
18/12/2023;Suco;Sul;633;55;34815
24/05/2022;Maionese;Norte;271;147;39837
26/02/2023;Detergente;Leste;439;74;32486
08/02/2023;Shampoo;Sul;266;135;35910
02/02/2022;Sabonete;Oeste;95;46;4370
06/11/2023;Detergente;Norte;337;222;74814
08/11/2022;Shampoo;Oeste;657;230;151110
10/09/2022;Pasta de dente;Norte;861;226;194586
29/06/2022;Detergente;Leste;773;143;110539
08/01/2022;Suco;Oeste;901;70;63070
02/12/2023;Sabonete;Sul;407;29;11803
07/02/2023;Detergente;Norte;866;74;64084
29/10/2022;Shampoo;Sul;280;35;9800
29/08/2022;Detergente;Norte;621;206;127926
30/03/2022;Shampoo;Oeste;26;79;2054
08/06/2022;Suco;Oeste;404;239;96556
01/04/2022;Sabonete;Leste;556;131;72836
06/07/2022;Detergente;Sul;357;230;82110
29/08/2023;Pasta de dente;Sul;707;178;125846
22/07/2023;Maionese;Oeste;368;19;6992
27/06/2023;Maionese;Norte;406;14;5684
28/11/2022;Shampoo;Norte;168;69;11592
05/06/2023;Shampoo;Oeste;479;168;80472
20/08/2023;Detergente;Sul;594;42;24948
23/10/2023;Detergente;Norte;672;132;88704
31/03/2022;Maionese;Leste;767;85;65195
02/11/2022;Sabonete;Leste;713;136;96968
18/08/2023;Detergente;Norte;499;164;81836
24/11/2023;Sabonete;Sul;606;43;26058
26/05/2023;Detergente;Sul;126;193;24318
22/04/2023;Detergente;Norte;921;68;62628
21/11/2023;Maionese;Oeste;322;180;57960
30/07/2022;Suco;Leste;415;170;70550
16/06/2023;Suco;Sul;295;7;2065
10/09/2022;Shampoo;Norte;935;22;20570
17/10/2023;Sabonete;Oeste;319;117;37323
27/08/2022;Shampoo;Sul;769;246;189174
05/11/2023;Maionese;Sul;310;75;23250
21/09/2022;Pasta de dente;Norte;499;231;115269
09/01/2023;Sabonete;Oeste;766;53;40598
27/06/2022;Suco;Sul;331;2;662
19/04/2023;Suco;Norte;49;56;2744
11/04/2023;Maionese;Leste;432;154;66528
24/07/2023;Sabonete;Oeste;510;167;85170
02/12/2022;Shampoo;Oeste;274;193;52882
12/12/2023;Pasta de dente;Oeste;595;33;19635
03/08/2023;Detergente;Norte;604;134;80936
11/01/2023;Suco;Sul;801;150;120150
10/01/2022;Maionese;Norte;315;16;5040
25/08/2023;Detergente;Leste;386;250;96500
07/04/2022;Pasta de dente;Norte;530;111;58830
05/05/2022;Pasta de dente;Oeste;994;4;3976
06/03/2022;Suco;Oeste;101;83;8383
23/06/2023;Detergente;Norte;748;50;37400
22/12/2023;Suco;Norte;268;229;61372
29/07/2022;Sabonete;Norte;318;147;46746
13/05/2023;Sabonete;Norte;124;42;5208
07/12/2023;Pasta de dente;Oeste;82;60;4920
19/11/2023;Sabonete;Sul;216;247;53352
